	name	skills
10	Pauline Norman	"[""write Maltese"", ""lift heavy weights"", ""components of oil seeds"", ""chemical processes"", ""principles of mechanical engineering"", ""alkali stages of refining processes for edible oils"", ""interpret data in food manufacturing"", ""assess quality characteristics of food products"", ""monitor temperature in manufacturing process of food and beverages"", ""origin of dietary fats and oils"", ""dispose food waste"", ""manufacture staple yarns"", ""assess oil hardness"", ""inspect vessel"", ""dispose food waste""]"
11	Kathryn Stidham	"[""restorative justice"", ""smoke sensors"", ""follow hygienic procedures during food processing"", ""liaise with colleagues"", ""determine crane load"", ""clean food and beverage machinery"", ""ensure compliance with environmental legislation in food production"", ""mechanical tools"", ""monitor flour unloading equipment"", ""manage delivery of raw materials"", ""health, safety and hygiene legislation"", ""secure goods according to work orders"", ""operate weighing machine"", ""follow verbal instructions"", ""adjust drying process to goods""]"
12	Erwin May	"[""electricity"", ""customise software for drive system"", ""perform surveying calculations"", ""measure customer feedback"", ""apply health and safety standards"", ""employment law"", ""set sales goals"", ""obtain relevant licenses"", ""maintain relationship with suppliers"", ""order supplies"", ""order supplies"", ""manage theft prevention"", ""maximise sales revenues"", ""employment law"", ""ensure correct goods labelling""]"
13	Neil Zahn	"[""achieve sales targets"", ""promote yourself"", ""perform multiple tasks at the same time"", ""work independently in rental services"", ""work independently in rental services"", ""work independently in rental services"", ""maintain inventory of rented items"", ""work independently in rental services"", ""company policies"", ""read manuscripts"", ""provide customers with price information"", ""interact verbally in Georgian"", ""communicate with customers"", ""communicate with customers"", ""handle financial transactions""]"
14	Joyce Delarosa	"[""identify GIS issues"", ""write work-related reports"", ""oversee granulation operations"", ""perform surveying calculations"", ""process collected survey data"", ""tend pug mills"", ""minerals laws"", ""process collected survey data"", ""motivate employees"", ""minerals laws"", ""dimension stone"", ""create GIS reports"", ""negotiate land access"", ""minerals laws"", ""supervise staff""]"
15	Britney Appleton	"[""food policy"", ""take action on food safety violations"", ""psychomotor therapy"", ""keep task records"", ""train employees"", ""cold chain"", ""food policy"", ""food storage"", ""general principles of food law"", ""control food safety regulations"", ""spray finishing technology"", ""food homogenisation"", ""keep task records"", ""create new recipes"", ""monitor sugar uniformity""]"
16	Shirley Payne	"[""manage maintenance operations"", ""vehicle electrical systems"", ""fabricate metal parts"", ""manage production enterprise"", ""mechanical tools"", ""prepare aviation equipment and facilities for training purposes"", ""repair metal sheets"", ""principles of mechanical engineering"", ""collaborate in the development of marketing strategies"", ""assemble machines"", ""health and safety regulations"", ""manage time in agricultural production"", ""electromagnetism"", ""clean vehicle engine"", ""assemble machines""]"
17	Joseph Shippey	"[""ensure vehicle operability"", ""use communication devices"", ""mechanical components of vehicles"", ""mechanical components of vehicles"", ""clean waste materials from machines"", ""tend to passenger belongings"", ""clean road vehicles"", ""manoeuvre bus"", ""meet productivity targets"", ""provide first aid"", ""keep time accurately"", ""use different communication channels"", ""monitor waiting list"", ""manoeuvre bus"", ""operate GPS systems""]"
18	Shannon Seveney	"[""embargo regulations"", ""hold metal work piece in machine"", ""abide by business ethical code of conducts"", ""meet deadlines"", ""managing a business with great care"", ""set import export strategies"", ""develop audit plan"", ""conduct performance measurement"", ""export control principles"", ""conduct performance measurement"", ""tend thread rolling machine"", ""international commercial transactions rules"", ""meet deadlines"", ""animal health rules of distribution of products of animal origin"", ""food hygiene rules""]"
19	Peter Maki	"[""advise on legislative acts"", ""manufacture framework sections"", ""develop employee retention programs"", ""perform scientific research"", ""maintain contractual information"", ""develop professional network"", ""real estate market"", ""perform property market research"", ""manage government policy implementation"", ""market analysis"", ""perform scientific research"", ""scientific research methodology"", ""perform scientific research"", ""advise on legislative acts"", ""manage government policy implementation""]"
20	Megan Altenburg	"[""handover the food preparation area"", ""identify external risks to bridge integrity"", ""apply procurement"", ""cook pastry products"", ""patch clay products"", ""recruit employees"", ""supervise food quality"", ""food storage"", ""execute chilling processes to food products"", ""apply procurement"", ""handle chemical cleaning agents"", ""check durability of materials"", ""attend to detail regarding food and beverages"", ""recruit employees"", ""manage budgets""]"
21	Donald Eldridge	"[""prepare stone for smoothing"", ""nonwoven machine technology"", ""manufacture non-woven filament products"", ""control textile process"", ""produce textile samples"", ""textile technologies"", ""evaluate textile characteristics"", ""prepare raw materials for man-made fibres manufacturing"", ""prepare raw materials for man-made fibres manufacturing"", ""manage ICT data classification"", ""cast concrete sections"", ""control textile process"", ""manufacture man-made fibres"", ""textile chemistry"", ""textile materials""]"
22	Rosemary Ashworth	"[""observe healthcare users"", ""lead board meetings"", ""guarantee students' safety"", ""oversee spa maintenance"", ""assessment processes"", ""education administration"", ""manage space utilisation"", ""assist in the organisation of school events"", ""manage school budget"", ""trade union regulations"", ""post-secondary school procedures"", ""write work-related reports"", ""education administration"", ""CoffeeScript"", ""manage student admissions""]"
23	Romana Welch	"[""cost management"", ""shape ornamental design"", ""recruit employees"", ""apply proofing membranes"", ""maintain blocking notes"", ""provide technical expertise"", ""energy efficiency"", ""use measurement instruments"", ""install construction profiles"", ""apply adhesive wall coating"", ""demonstrate products' features"", ""liaise with managers"", ""check compatibility of materials"", ""interpret inland water transport regulations"", ""ensure equipment availability""]"
24	Paul Talkington	"[""draw blueprints"", ""manage schedule of tasks"", ""safety engineering"", ""develop project schedule"", ""remove inadequate workpieces"", ""nuclear energy"", ""identify construction materials from blueprints"", ""impact of social contexts on health"", ""design principles"", ""manage schedule of tasks"", ""disassemble equipment"", ""coordinate sewage sludge handling"", ""draw blueprints"", ""disassemble equipment"", ""write stress analysis reports""]"
25	Bertha Pritchett	"[""prevent social problems"", ""handle financial transactions"", ""types of insurance"", ""provide financial product information"", ""manage claims process"", ""apply technical communication skills"", ""analyse financial risk"", ""organise a damage assessment"", ""apply statistical analysis techniques"", ""organise a damage assessment"", ""analyse financial risk"", ""metallurgy"", ""adjust the performance to different environments"", ""handle incoming insurance claims"", ""claims procedures""]"
26	Doris Robinson	"[""apparel manufacturing technology"", ""officiate civil partnerships"", ""distinguish fabrics"", ""manage briefs for clothing manufacturing"", ""manufacturing of made-up textile articles"", ""sew pieces of fabric"", ""standard sizing systems for clothing"", ""distinguish fabrics"", ""properties of fabrics"", ""understand spoken Hungarian"", ""distinguish accessories"", ""perform process control in the wearing apparel industry"", ""manufacturing of made-up textile articles"", ""evaluate spatial information"", ""manufacture wearing apparel products""]"
27	Edythe Barron	"[""hazardous waste storage"", ""transfer chemicals"", ""tend vats following a nitration process"", ""store spent acids"", ""use psychoeducation"", ""decommissioning"", ""use chemical analysis equipment"", ""separate nitroglycerin from acids"", ""characteristics of products"", ""optimise production processes parameters"", ""optimise production processes parameters"", ""hazardous waste storage"", ""store spent acids"", ""optimise production processes parameters"", ""transfer chemicals""]"
28	Nicole Lawson	"[""scientific research methodology"", ""collect biological data"", ""product data management"", ""maintain musical instruments"", ""biological chemistry"", ""design scientific equipment"", ""maintain plants' growth"", ""scientific research methodology"", ""design prototypes"", ""scientific research methodology"", ""laboratory techniques"", ""repair toys"", ""adjust engineering designs"", ""execute analytical mathematical calculations"", ""biotechnology""]"
29	Ryan Morales	"[""first aid"", ""hygiene in a health care setting"", ""support children who have experienced trauma"", ""attend to children's basic physical needs"", ""listen actively"", ""advocate for social service users"", ""personal development"", ""first aid"", ""legal requirements in the social sector"", ""use body language"", ""discuss plays"", ""contribute to protecting individuals from harm"", ""maintain the trust of service users"", ""provide in-home support for disabled individuals"", ""provide first aid""]"
30	Geraldine Donovan	"[""use textile technique for hand-made products"", ""use textile technique for hand-made products"", ""work in textile manufacturing teams"", ""textile materials"", ""properties of fabrics"", ""use weaving machine technologies"", ""sell textiles fabrics"", ""distribute programmes at the venue"", ""cut textiles"", ""place orders for textile materials"", ""carry out interviews to select artistic team members"", ""use textile technique for hand-made products"", ""drive in urban areas"", ""evaluate textile characteristics"", ""textile industry""]"
31	Adele Currie	"[""maintain tile flooring"", ""operate mosaic tools"", ""use safety equipment in construction"", ""covert slivers into thread"", ""control proceedings on board in the event of an emergency"", ""order construction supplies"", ""work in a construction team"", ""apply restoration techniques"", ""tune a projector"", ""answer requests for quotation"", ""install insulation material"", ""sanding techniques"", ""mix construction grouts"", ""transport construction supplies"", ""answer requests for quotation""]"
32	Patricia Garner	"[""recruit employees"", ""enforce safety procedures when working at heights"", ""clean jewellery pieces"", ""recruit employees"", ""monitor customer service"", ""manage theft prevention"", ""monitor customer service"", ""negotiate sales contracts"", ""edit negatives"", ""recruit employees"", ""use different communication channels"", ""manage staff"", ""manage budgets"", ""study sales levels of products"", ""manage theft prevention""]"
33	Melissa Eastwood	"[""build business relationships"", ""negotiate service with providers"", ""manage contracts"", ""set up pricing strategies"", ""sales strategies"", ""perform market research"", ""conduct neurological examination"", ""manage contracts"", ""build business relationships"", ""oversee the printing of touristic publications"", ""develop revenue generation strategies"", ""perform market research"", ""help performers internalise choreographic material"", ""measure customer feedback"", ""select optimal distribution channel""]"
34	Karen Stokes	"[""animal welfare"", ""manage animal hygiene"", ""analyse the care quality"", ""assist in transportation of animals"", ""apply permanent make-up"", ""control animal movement"", ""assess management of animals"", ""advise on animal welfare"", ""manage insect breeding"", ""administer treatment to animals"", ""provide nutrition to animals"", ""maintain equipment"", ""feed livestock"", ""write Norwegian"", ""advise on animal welfare""]"
35	Ronald Fico	"[""brief court officials"", ""revise legal documents"", ""communicate by telephone"", ""provide treatment strategies for challenges to human health"", ""ICT hardware specifications"", ""court procedures"", ""manage personnel agenda"", ""revise legal documents"", ""manage personnel agenda"", ""procedural law"", ""issue sales invoices"", ""issue sales invoices"", ""decode handwritten texts"", ""carry out shipping orders for parts"", ""handle evidence""]"
36	Irma Norman	"[""manage emergency procedures"", ""verify oil circulation"", ""blow moulding"", ""mathematics"", ""inspect pipelines"", ""set equipment controls"", ""use traditional illustration techniques"", ""mechanics"", ""control pumping operations in petroleum production"", ""textile printing technology"", ""electronics"", ""troubleshoot"", ""synchronise pumphouse activities"", ""maintain mechanical equipment"", ""coordinate remote communications""]"
37	Anita Rae	"[""maintain edge banding machinery"", ""manufacture personal protective equipment made of textile"", ""measure the human body for wearing apparel"", ""measure the human body for wearing apparel"", ""bundle fabrics"", ""measure the human body for wearing apparel"", ""sew protective workwear"", ""radiation physics in healthcare"", ""measure the human body for wearing apparel"", ""Code of Conduct for Responsible Fisheries"", ""inspect wearing apparel products"", ""inspect wearing apparel products"", ""inspect wearing apparel products"", ""inspect wearing apparel products"", ""standard sizing systems for clothing""]"
38	Ernest Dennard	"[""control pumping operations in petroleum production"", ""facilitate coated workpieces to dry"", ""monitor moving workpiece in a machine"", ""monitor moving workpiece in a machine"", ""monitor conveyor belt"", ""stamping press parts"", ""facilitate coated workpieces to dry"", ""apply preliminary treatment to workpieces"", ""spray slabs"", ""types of stamping press"", ""types of metal"", ""assess the compatibility of individuals and animals to work together"", ""remove coating"", ""clean industrial containers"", ""stamping press parts""]"
39	Maggie Heinz	"[""inspect aquaculture equipment"", ""control fish diseases"", ""screen live fish deformities"", ""animal welfare legislation"", ""schedule hatchery supplies"", ""plan team building"", ""write work-related reports"", ""conduct military music services"", ""fish anatomy"", ""operate compression rollers"", ""work in outdoor conditions"", ""write work-related reports"", ""induce spawning of cultured aquaculture species"", ""licences regulation"", ""interact verbally in Italian""]"
40	Billy Spurlock	"[""preserve fish products"", ""micromechanics"", ""heat metals"", ""perform machine maintenance"", ""monitor automated machines"", ""types of lathe tools"", ""tend CNC drilling machine"", ""operate precision measuring equipment"", ""operate precision measuring equipment"", ""tend CNC grinding machine"", ""types of metal"", ""quality and cycle time optimisation"", ""plant propagation"", ""apply precision metalworking techniques"", ""calculate tote price""]"
41	Beverly Cantrell	"[""maintain customer records"", ""schedule shifts"", ""coordinate activities across hospitality rooms division"", ""apply arc welding techniques"", ""comply with food safety and hygiene"", ""tend metal fastener machine"", ""manage front operations"", ""schedule shifts"", ""ensure cross-department cooperation"", ""process reservations"", ""identify customer's needs"", ""manage health and safety standards"", ""apply a protective layer"", ""manage staff"", ""maintain customer service""]"
42	Rex Gandolfi	"[""develop visual elements"", ""create sketches"", ""operate a ceramics kiln"", ""use artistic materials for drawing"", ""paint spraying techniques"", ""polish clay products"", ""intellectual property law"", ""climb on railcars"", ""develop investment portfolio"", ""operate control systems"", ""confer on artwork"", ""check the received biological samples"", ""polish clay products"", ""create artwork"", ""work independently as an artist""]"
43	Kathleen Ludkowski	"[""create software design"", ""implement ICT network diagnostic tools"", ""Cisco"", ""support ICT system users"", ""give live presentation"", ""reprography"", ""signal processing"", ""prepare wall for wallpaper"", ""build business relationships"", ""analyse business requirements"", ""APL"", ""apply technical communication skills"", ""ICT project management methodologies"", ""detect microorganisms"", ""Swift (computer programming)""]"
44	Bernard Fadel	"[""adult education"", ""adult education"", ""apply teaching strategies"", ""provide pharmaceutical advice"", ""consult students on learning content"", ""facilitate teamwork between students"", ""teach literacy as a social practice"", ""provide rigging plans"", ""facilitate teamwork between students"", ""facilitate teamwork between students"", ""teach reading strategies"", ""encourage students to acknowledge their achievements"", ""adapt teaching to target group"", ""pleat fabrics"", ""assessment processes""]"
45	Delores Mullins	"[""reduce environmental impact of footwear manufacturing"", ""determine footwear warehouse layout"", ""footwear quality"", ""exert a goal-oriented leadership role towards colleagues"", ""footwear machinery"", ""footwear manufacturing technology"", ""footwear manufacturing technology"", ""monitor filling machines"", ""health and safety in the workplace"", ""operate plasma cutting torch"", ""apply footwear and leather goods quality control techniques"", ""practice innovative thinking in the footwear and leather goods industries"", ""plan footwear manufacture"", ""meet deadlines for preparing legal cases"", ""footwear machinery""]"
46	Pamela Colman	"[""use safety equipment in construction"", ""interpret 2D plans"", ""monitor wildlife"", ""keep records of work progress"", ""present storyboard"", ""interpret 2D plans"", ""assess the life cycle of resources"", ""test sensors"", ""test sensors"", ""interpret 3D plans"", ""plumbing tools"", ""work ergonomically"", ""security panels"", ""operate hand drill"", ""install insulation material""]"
47	Lisa Hinchee	"[""carry out statistical forecasts"", ""ensure soil fertility"", ""operate ship equipment"", ""track shipping sites"", ""electronic and telecommunication equipment"", ""perform multiple tasks at the same time"", ""implement strategic planning"", ""carry out statistical forecasts"", ""ensure customs compliance"", ""have computer literacy"", ""implement strategic planning"", ""carry out statistical forecasts"", ""handle carriers"", ""communicate with tenants"", ""track shipments""]"
48	Lauren Miller	"[""air traffic management"", ""assist in children's development of basic personal skills"", ""workplace sanitation"", ""tend injection moulding machine"", ""work with virtual learning environments"", ""stimulate students' independence"", ""apply teaching strategies"", ""understand spoken Greek"", ""curriculum objectives"", ""assess the development of youth"", ""assign homework"", ""special needs education"", ""perform playground surveillance"", ""children's physical development"", ""develop course outline""]"
49	Kieth Lamantia	"[""document safety actions"", ""organise performance space"", ""test system accessibility for users with special needs"", ""inspire enthusiasm for dance"", ""organise performance space"", ""manage budgets"", ""ensure health and safety of visitors"", ""adapt to artists' creative demands"", ""develop artistic project budgets"", ""manage chemical processes inspection"", ""develop artistic project budgets"", ""promote inclusion"", ""promote inclusion"", ""manage artistic project"", ""coordinate rehearsals""]"
50	Daniel Ramirez	"[""identify market niches"", ""strategic planning"", ""manage budgets"", ""improve business processes"", ""manage budgets"", ""control production"", ""perform routine flight operations checks"", ""manage emergency procedures"", ""manage staff"", ""control production"", ""measure customer feedback"", ""types of metal"", ""strive for company growth"", ""conserve forests"", ""manage budgets""]"
51	Laverne Francis	"[""implement corporate governance"", ""repair engines"", ""operation of different engines"", ""operate welding equipment"", ""inspect quality of products"", ""diagnose defective engines"", ""read standard blueprints"", ""rivet types"", ""record test data"", ""read engineering drawings"", ""inspect quality of products"", ""report mine machinery repairs"", ""evaluate advertising campaign"", ""ensure equipment availability"", ""inspect quality of products""]"
52	Thomas Jones	"[""understand budgetary limits"", ""maintain mine machinery"", ""mechanical engineering"", ""ensure compliance with safety legislation"", ""advise on mine development"", ""maintain mine machinery"", ""mechanical engineering"", ""manage emergency procedures"", ""cancer risks"", ""manage emergency procedures"", ""mine safety legislation"", ""address problems critically"", ""mining engineering"", ""manipulate dental material"", ""mathematics""]"
53	Peter Weinbauer	"[""oversee promotional sales prices"", ""apply procurement"", ""measure customer feedback"", ""operate pumping systems"", ""hire beaters"", ""maintain relationship with customers"", ""sales activities"", ""acoustics"", ""acoustics"", ""manage staff"", ""sales activities"", ""maintain records of clients' prescriptions"", ""oversee promotional sales prices"", ""maxillo-facial, oral, and dental surgery"", ""maintain relationship with suppliers""]"
54	Maxine Outman	"[""issue sales invoices"", ""e-commerce systems"", ""examine merchandise"", ""carry out order intake"", ""follow control of substances hazardous to health procedures"", ""apply thermite welding techniques"", ""engrave patterns"", ""provide customer follow-up services"", ""use different communication channels"", ""characteristics of services"", ""monitor stock level"", ""hardware industry"", ""construct cores"", ""estimate amount of paint"", ""guarantee customer satisfaction""]"
55	Lyle Fernandez	"[""emergency medicine"", ""attend to children's basic physical needs"", ""teach primary education class content"", ""teamwork principles"", ""perform playground surveillance"", ""musical notation"", ""musical instruments"", ""developmental psychology"", ""operate remote broadcast equipment"", ""maintain musical instruments"", ""apply teaching strategies"", ""disability types"", ""geophysics"", ""musical notation"", ""assign homework""]"
56	John Carney	"[""operate tram controls"", ""tramway regulations"", ""perform defensive driving"", ""perform tram equipment checks"", ""ensure vehicle operability"", ""advise on vehicle characteristics"", ""operate GPS systems"", ""read maps"", ""focus on passengers"", ""interpret traffic light signals used in tramway infrastructure"", ""test for behavioural patterns"", ""provide information to passengers"", ""perform defensive driving"", ""assist disabled passengers"", ""draft the rules of the mediation service""]"
57	Joshua Cieslinski	"[""oversee production requirements"", ""write inspection reports"", ""operate soldering equipment"", ""manufacturing of metal containers"", ""check material rescources"", ""help the programmer define an artistic vision"", ""liaise with quality assurance"", ""keep records of work progress"", ""check material rescources"", ""integrate new products in manufacturing"", ""undertake inspections"", ""coordinate passengers"", ""operate soldering equipment"", ""maintain mechanical equipment"", ""set up the controller of a machine""]"
58	Gary Renyer	"[""pack goods"", ""technically design a sound system"", ""warehouse operations"", ""pick orders for dispatching"", ""bake pastry for special events"", ""pick orders for dispatching"", ""maintain warehouse database"", ""pick orders for dispatching"", ""perform warehousing operations"", ""perform warehousing operations"", ""warehouse operations"", ""tend planing machine"", ""standard sizing systems for clothing"", ""clean warehouse"", ""perform warehousing operations""]"
59	Catherine Herman	"[""perform business research"", ""deliver correspondence"", ""coordinate events"", ""disseminate internal communications"", ""handle mail"", ""maintain inventory of office supplies"", ""prepare board for soldering"", ""manage currency exchange risk mitigation techniques"", ""disseminate internal communications"", ""repair furniture frames"", ""speak different languages"", ""maintain statutory books"", ""maintain inventory of office supplies"", ""organise travel arrangements for staff"", ""fix meetings""]"
60	Cheryl Redfield	"[""types of coffee beans"", ""prevent fires on board"", ""ensure compliance with environmental legislation in food production"", ""develop standard operating procedures in the food chain"", ""operate motorised street sweeping machine"", ""tend grinding mill machine"", ""examine production samples"", ""match coffee grind to coffee type"", ""coffee grinding levels"", ""operate grain cleaning machine"", ""maintain updated professional knowledge"", ""coffee grinding levels"", ""work in conveyor belts in food manufacturing"", ""apply requirements concerning manufacturing of food and beverages"", ""use color matching techniques""]"
61	Clarence Roberts	"[""manage personnel agenda"", ""order supplies"", ""repair battery components"", ""allocate bills"", ""tolerate stress"", ""insurance law"", ""manage accounts"", ""maintain healthcare user data confidentiality"", ""communicate on minerals issues"", ""manage accounts"", ""record healthcare users' billing information"", ""types of insurance"", ""comply with legislation related to health care"", ""record healthcare users' billing information"", ""communicate by telephone""]"
62	James Hamill	"[""Internet of Things"", ""manage brand assets"", ""ICT security legislation"", ""system backup best practice"", ""computer forensics"", ""system backup best practice"", ""execute ICT audits"", ""web application security threats"", ""cyber security"", ""ICT encryption"", ""train employees"", ""assess ICT knowledge"", ""perform emergency street clean ups"", ""safeguard artistic quality of performance"", ""maintain ICT identity management""]"
63	Scott Johnson	"[""energy performance of buildings"", ""work in a construction team"", ""follow safety procedures when working at heights"", ""operate masonry power saw"", ""answer requests for quotation"", ""interpret 3D plans"", ""process commissioned instructions"", ""operate masonry power saw"", ""apply music therapy assessment methods"", ""evaluate employees work"", ""ensure equipment availability"", ""split bricks"", ""work in a construction team"", ""plan scaffolding"", ""conduct regular aviation research""]"
64	Lisa Printup	"[""maintain equipment"", ""register visitors"", ""prepare chemical samples"", ""personal protective equipment"", ""control slate chutes"", ""feed the slate mixer"", ""use personal protection equipment"", ""manage fisheries projects"", ""test raw minerals"", ""clean mixer"", ""test raw minerals"", ""test raw minerals"", ""monitor gauge"", ""operate specialised equipment in emergency"", ""use personal protection equipment""]"
65	Sergio Farr	"[""engineering principles"", ""follow production schedule"", ""ensure vessel compliance with regulations"", ""identify physical characteristics of performer"", ""manage health and safety standards"", ""adjust engineering designs"", ""ICT project management"", ""ensure vessel compliance with regulations"", ""ensure equipment availability"", ""ensure vessel compliance with regulations"", ""assess operating cost"", ""assess operating cost"", ""mathematics"", ""drive agricultural machines"", ""mathematics""]"
66	Naomi Clark	"[""fix meetings"", ""apply conflict management"", ""apply conflict management"", ""public auction procedures"", ""manage budgets"", ""apply conflict management"", ""act as a company ambassador"", ""manage staff"", ""create auction catalogue"", ""follow company standards"", ""monitor patient's health condition"", ""attach lift motor cables"", ""speak different languages"", ""supervise daily information operations"", ""conduct research interview""]"
67	George Muth	"[""software architecture models"", ""Hybrid model"", ""manage sport competition programmes"", ""run simulations"", ""service-oriented modelling"", ""Lean project management"", ""Objective-C"", ""Groovy"", ""Ruby (computer programming)"", ""C#"", ""Agile development"", ""innovate in ICT"", ""Python (computer programming)"", ""create software design"", ""monitor system performance""]"
68	Ollie Morris	"[""perform account allocation"", ""supervise accounting operations"", ""financial forecasting"", ""electromechanics"", ""manage accounts"", ""attach accounting certificates to accounting transactions"", ""analyse costume sketches"", ""plan health and safety procedures"", ""liaise with managers"", ""install air conditioning device"", ""manage the general ledger"", ""manage accounts"", ""inform on fiscal duties"", ""follow company standards"", ""perform account allocation""]"
69	Ronald Garcia	"[""types of metal manufacturing processes"", ""identify market niches"", ""maintain shellfish depuration equipment"", ""precious metals"", ""chemistry"", ""innovation processes"", ""non-ferrous metal processing"", ""perform market research"", ""adapt fighting techniques for performance"", ""plan logging operations"", ""quality standards"", ""physics"", ""identify market niches"", ""ferrous metal processing"", ""ferrous metal processing""]"
70	Cristopher Fleagle	"[""operate signal generator"", ""install electronic communication equipment"", ""assess telecommunication infrastructure issues"", ""concepts of telecommunications"", ""estimate duration of work"", ""communicate with customers"", ""mix construction grouts"", ""keep food laboratory inventory"", ""solder electronics"", ""direct inward dialing"", ""estimate duration of work"", ""install cable TV services"", ""operate electronic measuring instruments"", ""operate electronic measuring instruments"", ""cut page edges""]"
71	Frances Wagner	"[""carry out active selling"", ""hand out product samples"", ""enforce regulations of selling tobacco to minors"", ""ensure product preparation"", ""stock shelves"", ""achieve sales targets"", ""ensure product preparation"", ""company policies"", ""tobacco brands"", ""cope with challenging circumstances in the fishery sector"", ""tobacco brands"", ""reverse engineering"", ""assess others"", ""achieve sales targets"", ""assist customers""]"
72	Ann Fondren	"[""assist in maritime rescue operations"", ""International Convention for the Prevention of Pollution from Ships"", ""facilitate teamwork between students"", ""digital printing"", ""enforce fuel storage regulations"", ""operate marine communication systems"", ""guide ships into docks"", ""maritime transportation technology"", ""Global Maritime Distress and Safety System"", ""geographic areas"", ""supervise movement of passengers"", ""use water navigation devices"", ""curriculum objectives"", ""plan sports instruction programme"", ""international regulations for preventing collisions at sea""]"
73	Virginia Lebeau	"[""securities"", ""make legislative decisions"", ""accounting"", ""maintain records of financial transactions"", ""operate financial instruments"", ""stock market"", ""analyse economic trends"", ""give live presentation"", ""actuarial science"", ""trade securities"", ""international commercial transactions rules"", ""statistics"", ""trace financial transactions"", ""crush grapes"", ""perform financial risk management in international trade""]"
